#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage
6, 9920, 16,     1.47, 3,   boost,  -11.78,  96972.00,  368.82,  237.56,  139.88, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.48, 3,   boost,  -12.21,  96977.00,  368.39,  237.13,  139.73, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.49, 3,   boost,  -12.63,  96954.00,  370.38,  239.11,  139.58, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.50, 3,   boost,  -13.03,  96937.00,  371.84,  240.58,  139.42, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.51, 3,   boost,  -13.42,  96912.00,  374.00,  242.74,  139.26, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.52, 3,   boost,  -13.79,  96882.00,  376.59,  245.33,  139.10, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.53, 3,   boost,  -14.15,  96867.00,  377.88,  246.62,  138.93, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.54, 3,   boost,  -14.49,  96840.00,  380.22,  248.95,  138.76, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     1.55, 3,   boost,  -14.81,  96840.00,  380.22,  248.95,  138.59, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     1.56, 3,   boost,  -15.13,  96807.00,  383.07,  251.80,  138.42, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.57, 3,   boost,  -15.43,  96784.00,  385.05,  253.79,  138.24, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.58, 3,   boost,  -15.71,  96769.00,  386.35,  255.08,  138.06, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.59, 3,   boost,  -15.99,  96743.00,  388.60,  257.33,  137.88, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.60, 3,   boost,  -16.26,  96726.00,  390.06,  258.80,  137.70, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.61, 3,   boost,  -16.51,  96714.00,  391.10,  259.84,  137.52, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.62, 3,   boost,  -16.75,  96704.00,  391.97,  260.70,  137.34, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.63, 3,   boost,  -16.99,  96693.00,  392.92,  261.65,  137.15, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.64, 3,   boost,  -17.21,  96678.00,  394.21,  262.95,  136.97, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.65, 3,   boost,  -17.43,  96648.00,  396.81,  265.54,  136.78, 23.7, 0.00, 0.00, 4.02
6, 9920, 16,     1.66, 3,   boost,  -17.64,  96648.00,  396.81,  265.54,  136.59, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.67, 3,   boost,  -17.84,  96625.00,  398.80,  267.53,  136.40, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.68, 3,   boost,  -18.04,  96589.00,  401.91,  270.65,  136.21, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.69, 3,   boost,  -18.23,  96580.00,  402.69,  271.43,  136.02, 23.7, 0.00, 0.00, 4.00
6, 9920, 16,     1.70, 3,   boost,  -18.42,  96555.00,  404.86,  273.59,  135.83, 23.7, 0.00, 0.00, 4.00
